Date-Time Wed Apr  4 14:54:51 2018:	Voltage: 179.4	Vac(rms);
Date-Time Wed Apr  4 14:54:54 2018:	Voltage: 177.5	Vac(rms);
Date-Time Wed Apr  4 14:54:57 2018:	Voltage: 179.6	Vac(rms);
Date-Time Wed Apr  4 14:55:00 2018:	Voltage: 178.2	Vac(rms);
Date-Time Wed Apr  4 14:55:03 2018:	Voltage: 178.6	Vac(rms);
Date-Time Wed Apr  4 14:55:06 2018:	Voltage: 179.3	Vac(rms);
Date-Time Wed Apr  4 14:55:09 2018:	Voltage: 177.7	Vac(rms);
Date-Time Wed Apr  4 14:55:12 2018:	Voltage: 183.3	Vac(rms);
Date-Time Wed Apr  4 14:55:15 2018:	Voltage: 196.9	Vac(rms);
Date-Time Wed Apr  4 14:55:18 2018:	Voltage: 198.2	Vac(rms);
Date-Time Wed Apr  4 14:55:21 2018:	Voltage: 199.4	Vac(rms);
Date-Time Wed Apr  4 14:55:24 2018:	Voltage: 199.5	Vac(rms);
Date-Time Wed Apr  4 14:55:27 2018:	Voltage: 198.8	Vac(rms);
Date-Time Wed Apr  4 14:55:30 2018:	Voltage: 198.5	Vac(rms);
Date-Time Wed Apr  4 14:55:33 2018:	Voltage: 199.5	Vac(rms);
Date-Time Wed Apr  4 14:55:36 2018:	Voltage: 199.5	Vac(rms);
Date-Time Wed Apr  4 14:55:39 2018:	Voltage: 199.0	Vac(rms);
Date-Time Wed Apr  4 14:55:42 2018:	Voltage: 198.6	Vac(rms);
Date-Time Wed Apr  4 14:55:45 2018:	Voltage: 198.7	Vac(rms);
Date-Time Wed Apr  4 14:55:48 2018:	Voltage: 203.6	Vac(rms);
Date-Time Wed Apr  4 14:55:51 2018:	Voltage: 213.9	Vac(rms);
Date-Time Wed Apr  4 14:55:54 2018:	Voltage: 218.0	Vac(rms);
Date-Time Wed Apr  4 14:55:57 2018:	Voltage: 218.4	Vac(rms);
Date-Time Wed Apr  4 14:56:00 2018:	Voltage: 218.4	Vac(rms);
Date-Time Wed Apr  4 14:56:03 2018:	Voltage: 219.2	Vac(rms);
Date-Time Wed Apr  4 14:56:06 2018:	Voltage: 219.5	Vac(rms);
Date-Time Wed Apr  4 14:56:09 2018:	Voltage: 219.0	Vac(rms);
Date-Time Wed Apr  4 14:56:12 2018:	Voltage: 218.6	Vac(rms);
Date-Time Wed Apr  4 14:56:15 2018:	Voltage: 218.4	Vac(rms);
Date-Time Wed Apr  4 14:56:18 2018:	Voltage: 218.9	Vac(rms);
Date-Time Wed Apr  4 14:56:21 2018:	Voltage: 219.7	Vac(rms);
Date-Time Wed Apr  4 14:56:24 2018:	Voltage: 219.4	Vac(rms);
Date-Time Wed Apr  4 14:56:27 2018:	Voltage: 217.9	Vac(rms);
Date-Time Wed Apr  4 14:56:30 2018:	Voltage: 217.4	Vac(rms);
Date-Time Wed Apr  4 14:56:33 2018:	Voltage: 218.3	Vac(rms);
Date-Time Wed Apr  4 14:56:36 2018:	Voltage: 218.8	Vac(rms);
Date-Time Wed Apr  4 14:56:39 2018:	Voltage: 218.5	Vac(rms);
Date-Time Wed Apr  4 14:56:42 2018:	Voltage: 218.0	Vac(rms);
Date-Time Wed Apr  4 14:56:45 2018:	Voltage: 217.6	Vac(rms);
Date-Time Wed Apr  4 14:56:48 2018:	Voltage: 218.1	Vac(rms);
Date-Time Wed Apr  4 14:56:51 2018:	Voltage: 218.8	Vac(rms);
Date-Time Wed Apr  4 14:56:54 2018:	Voltage: 218.5	Vac(rms);
